dataset,field,matches,total,agreement_percent
samples,patient_name,60,60,100.0
samples,dob,60,60,100.0
samples,sex,60,60,100.0
samples,enrollment_site,60,60,100.0
samples,glucose_mg_dl,60,60,100.0
samples,glucose_status,60,60,100.0
samples,notes,60,60,100.0
samples,complete_record,60,60,100.0
sequences,organism,8,8,100.0
sequences,gene,8,8,100.0
sequences,reported_length,8,8,100.0
sequences,sequence_length,8,8,100.0
sequences,length_match,8,8,100.0
sequences,notes,8,8,100.0
sequences,sequence,8,8,100.0
sequences,complete_record,8,8,100.0
