sample_id,matching_fields,total_fields,all_fields_match,differing_fields
S0001,7,7,True,
S0002,7,7,True,
S0003,7,7,True,
S0004,7,7,True,
S0005,7,7,True,
S0006,7,7,True,
S0007,7,7,True,
S0008,7,7,True,
S0009,7,7,True,
S0010,7,7,True,
S0011,7,7,True,
S0012,7,7,True,
S0013,7,7,True,
S0014,7,7,True,
S0015,7,7,True,
S0016,7,7,True,
S0017,7,7,True,
S0018,7,7,True,
S0019,7,7,True,
S0020,7,7,True,
S0021,7,7,True,
S0022,7,7,True,
S0023,7,7,True,
S0024,7,7,True,
S0025,7,7,True,
S0026,7,7,True,
S0027,7,7,True,
S0028,7,7,True,
S0029,7,7,True,
S0030,7,7,True,
S0031,7,7,True,
S0032,7,7,True,
S0033,7,7,True,
S0034,7,7,True,
S0035,7,7,True,
S0036,7,7,True,
S0037,7,7,True,
S0038,7,7,True,
S0039,7,7,True,
S0040,7,7,True,
S0041,7,7,True,
S0042,7,7,True,
S0043,7,7,True,
S0044,7,7,True,
S0045,7,7,True,
S0046,7,7,True,
S0047,7,7,True,
S0048,7,7,True,
S0049,7,7,True,
S0050,7,7,True,
S0051,7,7,True,
S0052,7,7,True,
S0053,7,7,True,
S0054,7,7,True,
S0055,7,7,True,
S0056,7,7,True,
S0057,7,7,True,
S0058,7,7,True,
S0059,7,7,True,
S0060,7,7,True,
